ID,from,to,sig
0,climate,climate,137825.13765621185
1,climate,change,16465.09363437351
2,climate,policy,4091.0835996167734
3,climate,agreement,2545.2379982620478
4,climate,crisis,2133.5558494878933
5,climate,action,1922.2192552350461
6,climate,energy,1659.5707367304713
7,climate,fight,1323.6081548100337
8,climate,paris,1286.484245929867
9,climate,adaptation,1241.7295595547184
10,climate,government,1149.4736249689013
11,climate,target,1021.5928654745221
12,climate,global,1011.2740965625271
13,climate,challenge,977.5104378117248
14,climate,strategy,954.3898115772754
