ID,from,to,sig
0,climate,climate,6533.247442340478
1,climate,change,982.1135569482576
2,climate,policy,195.47304990509292
3,climate,global,118.87036990682827
4,climate,objective,111.96681328531122
5,climate,plan,103.30797477328451
6,climate,agreement,90.66275709395995
7,climate,fight,78.9003202165477
8,climate,adaptation,76.3478870902909
9,climate,warming,68.60563680779887
10,climate,action,68.46732573624467
11,climate,paris,67.28247632528655
12,climate,crisis,66.96665591257624
13,climate,target,66.92028496484272
14,climate,sound,66.52576526225312
