ID,from,to,sig
0,climate,climate,616.5175847795908
1,climate,change,62.44751556311894
2,climate,strike,19.100037028047154
3,climate,crisis,16.813698070514874
4,climate,protection,16.337498088022585
5,climate,risk,15.991366922242378
6,climate,action,12.299331693237946
7,climate,say,10.939739108906906
8,climate,policy,10.813532756590575
9,climate,bad,10.642105464425185
10,climate,norway,10.274837522907546
11,climate,politician,8.707944744491215
12,climate,issue,8.668644989387758
13,climate,lead,8.668644989387758
14,climate,create,7.905878629354447
