ID,from,to,sig
0,climate,climate,66414.84628717229
1,climate,change,6869.825058510993
2,climate,policy,3030.494032660499
3,climate,agreement,1163.695015968755
4,climate,action,1064.0428576851264
5,climate,crisis,1005.0172516633756
6,climate,target,533.9519505482167
7,climate,fight,516.2288099885918
8,climate,government,513.3873987495899
9,climate,achieve,469.2364481659606
10,climate,paris,461.8411151175387
11,climate,adaptation,443.5081598525867
12,climate,plan,431.9679580652155
13,climate,energy,349.5881530013867
14,climate,thank,343.30771009111777
